"","Beds","FBaths","Garage_Spaces","HBaths","DOM","Housing_Older_Persons_Act","Membership_Purch_Rqd","Pets_Allowed","Sale_Price","SqFt_Liv_Area","Style","Waterfront_Property","Year_Built","Zip_Code","Assoc_Fee_Paid","fecha","Marble","Vinyl","Clay","Terrazzo","Parquet","Tile","Ceramic","Carpeted","Wood","None","Street_Parking","One_Space","Two_Or_More_Spaces","Valet_Parking","No_Leasing","Ok_To_Lease","No_Lease_Onest_Year_Owned","No_Restrictions","Tax_Informationcat","Waterfront","East_Of_Us_One","West_Of_Us_One","On_Golf_Course","Penthouse","Corner_Unit","Direct_Ocean","Intracoastal_View","Golf_View","Canal","Ocean_View"
"24",2,2,1,"0",594,"Unverified","0","Yes",410000,818,"C42-Condo 5+ Stories","No","2017",33137,7800,"7","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"25",1,1,1,"1",607,"Unverified","0","Yes",385000,950,"C42-Condo 5+ Stories","Yes","2008",33131,11724,"4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"26",1,1,1,"0",511,"No HOPA","0","Yes",250000,766,"C42-Condo 5+ Stories","No","1969",33139,2991,"9","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27",1,2,0,"0",999,"No HOPA","0","Yes",1275000,1066,"C42-Condo 5+ Stories","Yes","2005",33140,0,"5","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"28",1,1,0,"1",1225,"No HOPA","0","No",250000,761,"C42-Condo 5+ Stories","No","2008",33137,6420,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",2,2,1,"0",1256,"Unverified","0","Yes",555000,1313,"C42-Condo 5+ Stories","Yes","2008",33131,15792,"8","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1"
"30",3,2,1,"1",702,"No HOPA","0","Yes",1150000,2044,"C42-Condo 5+ Stories","Yes","2008",33131,21540,"3","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1"
"31",3,3,2,"1",731,"Unverified","0","Yes",730000,2221,"T51-Townhouse Fee Simple","Yes","2019",33141,3636,"1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"32",4,4,2,"1",623,"Unverified","0","Yes",1060000,2482,"T51-Townhouse Fee Simple","Yes","2018",33141,3636,"6","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"33",4,5,2,"1",952,"Unverified","0","Yes",2450000,2871,"C42-Condo 5+ Stories","Yes","2008",33160,34356,"5","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0"
"34",4,5,2,"1",678,"No HOPA","0","Yes",2580595,3465,"C42-Condo 5+ Stories","Yes","2018",33160,50868,"4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","0","0","0","1","0","1","0","0","1"
"35",3,2,0,"0",292,"No HOPA","0","No",230000,1239,"C42-Condo 5+ Stories","No","2002",33172,3264,"4","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"36",0,1,1,"0",980,"No HOPA","0","No",159000,370,"C42-Condo 5+ Stories","No","1972",33139,2724,"11","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"37",3,3,1,"0",1472,"Unverified","0","Yes",550000,13,"C42-Condo 5+ Stories","No","1997",33139,7680,"1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"38",1,1,1,"1",1126,"No HOPA","0","Yes",350000,943,"C42-Condo 5+ Stories","Yes","2008",33132,7440,"1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"39",2,2,1,"0",1034,"No HOPA","0","Yes",475000,1315,"C42-Condo 5+ Stories","Yes","2008",33132,10368,"4","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"40",3,3,2,"0",334,"Unverified","0","Yes",720000,2338,"T52-Townhouse Condo","No","2006",33133,0,"4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"41",3,3,1,"1",545,"No HOPA","1","Yes",450000,2595,"C42-Condo 5+ Stories","No","1988",33160,29988,"9","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0"
"42",2,2,2,"0",625,"No HOPA","1","Yes",280000,113,"C42-Condo 5+ Stories","No","2017",33178,4596,"5","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43",1,1,1,"0",427,"No HOPA","0","Yes",295000,808,"C42-Condo 5+ Stories","No","2015",33130,0,"12","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"44",3,2,1,"1",268,"Unverified","0","Yes",316900,0,"T52-Townhouse Condo","No","2018",33175,2400,"4","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"45",1,1,1,"1",432,"No HOPA","0","No",280000,754,"C42-Condo 5+ Stories","No","2010",33130,0,"2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"46",2,2,1,"0",768,"Unverified","0","Yes",654000,1088,"C42-Condo 5+ Stories","Yes","2008",33139,21960,"10","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"47",2,2,1,"0",462,"No HOPA","0","Yes",310000,1181,"C42-Condo 5+ Stories","No","1988",33180,1050,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"48",3,2,2,"1",378,"No HOPA","0","Yes",385000,1816,"T52-Townhouse Condo","No","2017",33178,4404,"4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"49",3,3,2,"0",280,"No HOPA","1","Yes",357500,226,"T51-Townhouse Fee Simple","No","2004",33178,2880,"4","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"50",2,2,1,"1",290,"Unverified","0","Yes",1080000,1886,"C41-Condo 1-4 Stories","Yes","2006",33160,0,"5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"51",3,4,2,"1",321,"No HOPA","0","Yes",9e+05,2011,"C42-Condo 5+ Stories","Yes","1999",33160,20352,"3","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","1","1","0","0","0","1"
"52",2,3,2,"0",702,"No HOPA","0","Yes",3500000,2233,"C42-Condo 5+ Stories","Yes","2016",33154,23856,"4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","1"
"53",3,4,2,"1",594,"Unverified","0","No",5200000,3592,"C42-Condo 5+ Stories","Yes","2016",33154,32748,"11","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0"
"54",2,3,2,"1",258,"No HOPA","0","Yes",3e+06,0,"C42-Condo 5+ Stories","Yes","2014",33149,22440,"4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1"
"55",2,2,1,"1",1121,"Unverified","0","Yes",1700000,2009,"C42-Condo 5+ Stories","Yes","2007",33154,29412,"1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1"
"56",3,3,1,"1",530,"No HOPA","0","Yes",1100000,1865,"C42-Condo 5+ Stories","Yes","2018",33137,12804,"8","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"57",1,1,1,"1",1665,"Unverified","0","Yes",390000,103,"C41-Condo 1-4 Stories","Yes","1983",33139,14160,"6","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"58",1,1,1,"1",1665,"Unverified","0","Yes",490000,103,"C42-Condo 5+ Stories","Yes","1983",33139,14160,"6","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"59",1,1,1,"1",618,"No HOPA","0","Yes",330000,750,"C42-Condo 5+ Stories","Yes","2018",33137,5328,"8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1"
"60",2,2,1,"0",783,"No HOPA","0","Yes",460000,1637,"T52-Townhouse Condo","No","2010",33137,15780,"4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
