,Street_Name,X,Beds,Baths,Garage_Spaces,Baths.1,City_Name,Closing_Date,Complex_Name,County,DOM,Sale_Price,Street_Number_Numeric,Unit_Floor_Location,Waterfront_Description,Year_Built,Zip_Code,longitude,latitude
531,Biscayne Blvd,3.0,5.0,6.0,0.0,1.0,Miami,2020-03-26,One Thousand Museum,Miami-Dade County,179.0,19800000.0,1000.0,59.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
533,Biscayne Blvd,5.0,5.0,6.0,7.0,1.0,Miami,2020-03-19,One Thousand Museum,Miami-Dade County,128.0,13800000.0,1000.0,57.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
973,Collins Ave,6.0,5.0,6.0,2.0,0.0,Surfside,2020-01-07,Surf Club Four Seasons,Miami-Dade County,730.0,12650000.0,9111.0,8.0,Other Waterfront,2017.0,33154.0,-80.1210954,25.8632138
934,Collins Ave,12.0,3.0,4.0,2.0,1.0,Bal Harbour,2020-01-17,OCEANA BAL HARBOUR,Miami-Dade County,84.0,8475000.0,10201.0,17.0,Ocean Front,2016.0,33154.0,-80.1210954,25.8632138
1026,Collins Avenue,17.0,3.0,4.0,1.0,1.0,Surfside,2020-01-23,The Surf Club Four Season,Miami-Dade County,140.0,7000000.0,9111.0,8.0,Ocean Front,2017.0,33154.0,-80.1210954,25.8632138
1108,Fisher Island Dr,9.0,6.0,6.0,4.0,1.0,Fisher Island,2020-03-09,Bayview,Miami-Dade County,340.0,6795000.0,5012.0,1.0,Bay Front,2001.0,33109.0,-80.1413061,25.7607775
548,Biscayne Blvd,20.0,4.0,5.0,2.0,1.0,Miami,2019-12-28,One Thousand Museum,Miami-Dade County,15.0,6000000.0,1000.0,42.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
1528,Ocean Dr,28.0,4.0,4.0,2.0,1.0,Miami Beach,2020-03-02,321 Ocean,Miami-Dade County,89.0,5750000.0,321.0,3.0,Ocean Front,2015.0,33139.0,-80.1311819,25.7779458
1713,Pointe Dr,27.0,3.0,4.0,1.0,1.0,Miami Beach,2019-12-30,Continuum South Tower,Miami-Dade County,180.0,5550000.0,100.0,6.0,Ocean Front,2002.0,33139.0,-90.1903353,38.6302789
828,Collins Ave,33.0,2.0,2.0,2.0,1.0,Surfside,2020-03-18,Surf Club Four Seasons,Miami-Dade County,192.0,5450000.0,9111.0,6.0,Ocean Front,2017.0,33154.0,-80.1210954,25.8632138
752,COLLINS AV,26.0,4.0,4.0,2.0,1.0,Bal Harbour,2020-02-27,ST REGIS BAL HARBOUR,Miami-Dade County,58.0,5300000.0,9705.0,9.0,Ocean Access,2011.0,33154.0,-80.121392,25.833502
1613,Ocean Dr,24.0,3.0,4.0,3.0,1.0,Miami Beach,2020-03-27,IL VILLAGGIO,Miami-Dade County,260.0,5100000.0,1455.0,4.0,Ocean Front,1998.0,33139.0,-80.1311819,25.7779458
694,BRICKELL BAY DR,30.0,5.0,5.0,2.0,1.0,Miami,2020-03-02,JADE RESIDENCES AT BRICKE,Miami-Dade County,224.0,4800000.0,1331.0,47.0,Bay Front,2004.0,33131.0,-80.1898079,25.7629285
407,Alton Rd,34.0,4.0,4.0,2.0,1.0,Miami Beach,2020-04-02,Murano Grande,Miami-Dade County,42.0,4710500.0,400.0,25.0,Bay Front,2003.0,33139.0,-80.13657540000001,25.808077100000002
1507,Ocean Blvd,41.0,3.0,3.0,2.0,1.0,Fort Lauderdale,2020-05-05,VILLA OCTAGON CONDO,Broward County,3.0,4650000.0,1900.0,4.0,Ocean Front,1992.0,33305.0,-78.86726479999999,33.70369960000001
1114,Fisher Island Dr,14.0,3.0,3.0,2.0,1.0,Miami Beach,2020-04-10,Oceanside No. 4,Miami-Dade County,257.0,4600000.0,7765.0,6.0,Ocean Front,1992.0,33109.0,-80.1413061,25.7607775
1237,Hiawatha Ave,50.0,4.0,5.0,4.0,1.0,Miami,2020-01-21,RESIDENCES AT VIZCAYA,Miami-Dade County,228.0,4300000.0,3535.0,2.0,Bay Front,2011.0,33133.0,-93.241518,44.951901
1702,Pointe Dr,40.0,3.0,3.0,2.0,1.0,Miami Beach,2020-03-26,Continuum North,Miami-Dade County,143.0,4200000.0,50.0,30.0,Ocean Front,2008.0,33139.0,-90.1903353,38.6302789
759,Collins Ave,45.0,5.0,5.0,3.0,0.0,Miami Beach,2019-12-27,Blue Diamond Condo,Miami-Dade County,144.0,4125000.0,4779.0,8.0,Ocean Front,2000.0,33140.0,-80.1210954,25.8632138
778,Collins Ave,35.0,3.0,4.0,2.0,1.0,Sunny Isles Beach,2019-12-20,Porsche,Miami-Dade County,497.0,3854000.0,18555.0,54.0,Ocean Front,2016.0,33160.0,-80.1210954,25.8632138
1477,Ocean Blvd,58.0,3.0,4.0,2.0,1.0,Fort Lauderdale,2020-04-07,L'HERMITAGE,Broward County,30.0,3715000.0,3200.0,29.0,Ocean Front,1999.0,33308.0,-78.86726479999999,33.70369960000001
1117,Fisher Island Dr,66.0,3.0,4.0,2.0,1.0,Miami,2020-03-09,7400 OCEANSIDE,Miami-Dade County,9.0,3650000.0,7455.0,5.0,Ocean Front,2002.0,33109.0,-80.1413061,25.7607775
970,Collins Ave,53.0,2.0,3.0,2.0,0.0,Bal Harbour,2020-02-10,OCEANA BAL HARBOUR,Miami-Dade County,194.0,3650000.0,10203.0,11.0,Ocean Front,2016.0,33154.0,-80.1210954,25.8632138
890,Collins Ave,44.0,4.0,4.0,2.0,1.0,Bal Harbour,2020-01-31,MAJESTIC TOWERS,Miami-Dade County,182.0,3600000.0,9601.0,20.0,Ocean Front,1998.0,33154.0,-80.1210954,25.8632138
960,Collins Ave,52.0,3.0,4.0,2.0,1.0,Sunny Isles Beach,2020-03-27,JADE SIGNATURE CONDO,Miami-Dade County,262.0,3590000.0,16901.0,35.0,Ocean Front,2018.0,33160.0,-80.1210954,25.8632138
445,Bayshore,69.0,5.0,5.0,2.0,1.0,Miami,2020-02-18,Grove at Grand Bay,Miami-Dade County,58.0,3440000.0,2675.0,6.0,Bay Front,2016.0,33133.0,-87.9136936,43.1228976
775,Collins Ave,47.0,4.0,5.0,2.0,1.0,Sunny Isles Beach,2020-03-04,JADE SIGNATURE CONDO,Miami-Dade County,202.0,3400000.0,16901.0,28.0,Ocean Front,2018.0,33160.0,-80.1210954,25.8632138
404,Alton Rd,57.0,3.0,3.0,1.0,1.0,Miami Beach,2019-12-30,MURANO GRANDE AT PORTOFIN,Miami-Dade County,103.0,3400000.0,400.0,29.0,Bay Front,2003.0,33139.0,-80.13657540000001,25.808077100000002
967,Collins Ave,46.0,3.0,4.0,2.0,1.0,Bal Harbour,2020-03-24,Bal Harbour Tower,Miami-Dade County,160.0,3400000.0,9999.0,16.0,Ocean Front,1990.0,33154.0,-80.1210954,25.8632138
1131,Fort Lauderdale Blvd,87.0,4.0,4.0,2.0,1.0,Fort Lauderdale,2020-02-03,Paramount Fort Lauderdale,Broward County,4.0,3330000.0,701.0,0.0,Ocean Front,2017.0,33304.0,-80.1046643,26.1174643
709,Brickell Key Blvd.,71.0,4.0,5.0,2.0,1.0,Miami,2020-03-06,Asia,Miami-Dade County,239.0,3300000.0,900.0,18.0,Bay Front,2008.0,33131.0,-80.18589329999999,25.7684451
770,Collins Ave,65.0,4.0,5.0,2.0,1.0,Sunny Isles Beach,2020-02-14,JADE SIGNATURE CONDO,Miami-Dade County,81.0,3280000.0,16901.0,26.0,Ocean Front,2018.0,33160.0,-80.1210954,25.8632138
1701,Pointe Dr,76.0,2.0,2.0,1.0,1.0,Miami Beach,2020-01-15,Continuum South,Miami-Dade County,29.0,3250000.0,100.0,35.0,Ocean Front,2002.0,33139.0,-90.1903353,38.6302789
468,Bayshore Dr,80.0,4.0,5.0,2.0,1.0,Coconut Grove,2020-01-24,THE GROVE AT GRAND BAY,Miami-Dade County,2.0,3250000.0,2669.0,8.0,Bay Front,2016.0,33133.0,-81.7704,26.128629999999998
1709,Pointe Dr,75.0,2.0,3.0,2.0,1.0,Miami Beach,2020-04-03,CONTINUUM NORTH,Miami-Dade County,92.0,3100000.0,50.0,8.0,Ocean Access,2008.0,33139.0,-90.1903353,38.6302789
1132,Fort Lauderdale Blvd,82.0,4.0,4.0,2.0,1.0,Fort Lauderdale,2020-05-15,Paramount Residences,Broward County,215.0,3010000.0,701.0,12.0,Ocean Front,2017.0,33304.0,-80.1046643,26.1174643
811,Collins Ave,97.0,3.0,2.0,1.0,1.0,Miami Beach,2019-12-17,The Carillon,Miami-Dade County,22.0,3000000.0,6899.0,29.0,Ocean Front,2008.0,33141.0,-80.1210954,25.8632138
1662,OCEAN DR,74.0,2.0,3.0,2.0,1.0,Key Biscayne,2020-02-14,OCEANA KEY BISCAYNE,Miami-Dade County,258.0,3000000.0,350.0,12.0,Ocean Front,2014.0,33149.0,-80.1311819,25.7779458
1052,Crandon Blvd,106.0,3.0,5.0,2.0,1.0,Key Biscayne,2020-04-30,The Ocean Club,Miami-Dade County,18.0,3000000.0,785.0,15.0,Ocean Front,1998.0,33149.0,-80.1606948,25.7014888
1508,Ocean Blvd,115.0,3.0,3.0,2.0,1.0,Fort Lauderdale,2020-01-15,L'Hermitage Condominiums,Broward County,148.0,2985000.0,3100.0,23.0,Ocean Front,1997.0,33308.0,-78.86726479999999,33.70369960000001
801,Collins Ave,64.0,3.0,3.0,2.0,1.0,Bal Harbour,2020-04-08,Bal Harbour 101,Miami-Dade County,25.0,2900000.0,10155.0,9.0,Ocean Front,1978.0,33154.0,-80.1210954,25.8632138
1530,Ocean Dr,102.0,4.0,4.0,2.0,0.0,Hollywood,2020-01-22,Villas of Positano,Broward County,33.0,2875000.0,3501.0,4.0,Ocean Front,2006.0,33019.0,-80.1311819,25.7779458
1700,Pointe Dr,77.0,2.0,2.0,1.0,1.0,Miami Beach,2020-05-04,Continuum South,Miami-Dade County,464.0,2800000.0,100.0,9.0,Ocean Front,2002.0,33139.0,-90.1903353,38.6302789
685,Brickell Bay Dr,92.0,4.0,4.0,1.0,1.0,Miami,2020-05-15,JADE BRICKELL,Miami-Dade County,304.0,2770000.0,1331.0,44.0,Bay Front,2004.0,33131.0,-80.1898079,25.7629285
1001,Collins Ave,110.0,2.0,2.0,1.0,0.0,Miami Beach,2019-12-19,W South Beach,Miami-Dade County,231.0,2700000.0,2201.0,4.0,Ocean Front,2009.0,33139.0,-80.1210954,25.8632138
262,38th Ct,116.0,3.0,3.0,2.0,1.0,Aventura,2019-12-20,PORTO VITA NORTH TOWER,Miami-Dade County,183.0,2700000.0,20155.0,30.0,Intracoastal Front,2003.0,33180.0,-82.186894,29.147865999999997
854,Collins Ave,138.0,1.0,2.0,1.0,0.0,Miami Beach,2019-12-12,Faena House,Miami-Dade County,2.0,2650000.0,3315.0,5.0,Bay Front,2015.0,33140.0,-80.1210954,25.8632138
813,Collins Ave,90.0,2.0,2.0,4.0,1.0,Surfside,2020-01-23,Four Seasons Surf Club,Miami-Dade County,212.0,2650000.0,9001.0,6.0,Ocean Front,2017.0,33154.0,-80.1210954,25.8632138
856,Collins Ave,49.0,4.0,5.0,2.0,1.0,Sunny Isles Beach,2020-02-20,Jade Signature,Miami-Dade County,678.0,2635000.0,16901.0,5.0,Ocean Front,2018.0,33160.0,-80.1210954,25.8632138
1367,Meridian Avenue,101.0,2.0,2.0,1.0,1.0,Miami Beach,2020-03-31,The Ritz-Carlton,Miami-Dade County,0.0,2610000.0,4701.0,5.0,Canal Front,2019.0,33140.0,-80.136133,25.797184899999998
901,Collins Ave,119.0,3.0,3.0,1.0,1.0,Surfside,2020-02-21,Solimar,Miami-Dade County,133.0,2600000.0,9595.0,8.0,Ocean Front,2002.0,33154.0,-80.1210954,25.8632138
1024,Collins Avenue,83.0,2.0,2.0,1.0,1.0,Miami Beach,2019-12-03,Eighty Seven Park,Miami-Dade County,92.0,2600000.0,8701.0,8.0,Ocean Access,2019.0,33154.0,-80.1210954,25.8632138
402,Alton Rd,112.0,2.0,2.0,1.0,1.0,Miami Beach,2020-04-30,ICON South Beach,Miami-Dade County,118.0,2500000.0,450.0,39.0,Bay Front,2005.0,33139.0,-80.13657540000001,25.808077100000002
169,20th St,98.0,2.0,2.0,1.0,0.0,Miami Beach,2020-04-01,Setai,Miami-Dade County,46.0,2500000.0,101.0,28.0,Ocean Front,2004.0,33139.0,-97.335553,37.720705
766,Collins Ave,129.0,4.0,5.0,2.0,1.0,Bal Harbour,2019-12-20,BAL HARBOUR 101,Miami-Dade County,270.0,2450000.0,10155.0,9.0,Ocean Front,1978.0,33154.0,-80.1210954,25.8632138
955,Collins Ave,105.0,4.0,5.0,2.0,1.0,Sunny Isles Beach,2020-03-10,Jade Beach,Miami-Dade County,952.0,2450000.0,17001.0,45.0,Ocean Front,2008.0,33160.0,-80.1210954,25.8632138
794,Collins Ave,139.0,3.0,3.0,1.0,1.0,Surfside,2020-05-15,Azure Condo,Miami-Dade County,18.0,2441000.0,9401.0,7.0,Ocean Front,2005.0,33154.0,-80.1210954,25.8632138
446,Bayshore Dr,130.0,3.0,3.0,2.0,1.0,Miami,2020-03-04,Grovenor House,Miami-Dade County,478.0,2400000.0,2627.0,14.0,Bay Front,2005.0,33133.0,-81.7704,26.128629999999998
1189,Grand Bay Dr,96.0,3.0,4.0,1.0,1.0,Key Biscayne,2020-04-22,Grand Bay Condo,Miami-Dade County,508.0,2400000.0,445.0,7.0,Ocean Front,1996.0,33149.0,-76.1236377,36.7806364
840,Collins Ave,157.0,3.0,4.0,2.0,1.0,Bal Harbour,2020-05-06,BAl Harbour Tower,Miami-Dade County,107.0,2400000.0,9999.0,5.0,Ocean Front,1990.0,33154.0,-80.1210954,25.8632138
464,Bayshore Dr,126.0,3.0,3.0,2.0,1.0,Coconut Grove,2020-04-30,TWO PARK GROVE CONDO,Miami-Dade County,215.0,2350000.0,2821.0,7.0,Bay Front,2018.0,33133.0,-81.7704,26.128629999999998
1698,Pointe Dr,125.0,2.0,2.0,1.0,1.0,Miami Beach,2020-04-21,Portofino Tower,Miami-Dade County,73.0,2250000.0,300.0,33.0,Ocean Access,1996.0,33139.0,-90.1903353,38.6302789
1486,Ocean Blvd,173.0,3.0,3.0,2.0,1.0,Lauderdale By The Sea,2020-05-15,AQUAZUL,Broward County,2.0,2150000.0,1600.0,10.0,Ocean Front,2005.0,33062.0,-78.86726479999999,33.70369960000001
1022,COLLINS AVE,109.0,3.0,4.0,0.0,1.0,Sunny Isles Beach,2019-12-04,ACQUALINA,Miami-Dade County,861.0,2150000.0,17875.0,19.0,Ocean Front,2006.0,33160.0,-80.1210954,25.8632138
898,Collins Ave,190.0,2.0,3.0,2.0,0.0,Miami Beach,2019-12-23,FONTAINEBLEAU II / TRESOR,Miami-Dade County,32.0,2100000.0,4401.0,29.0,Ocean Front,2005.0,33140.0,-80.1210954,25.8632138
1504,Ocean Blvd,184.0,3.0,4.0,3.0,1.0,Lauderdale By The Sea,2020-02-21,Aquazul,Broward County,257.0,2100000.0,1600.0,11.0,Ocean Front,2005.0,33062.0,-78.86726479999999,33.70369960000001
857,Collins Ave,171.0,3.0,2.0,2.0,1.0,Bal Harbour,2020-01-14,Kenilworth,Miami-Dade County,31.0,2100000.0,10205.0,3.0,Ocean Front,1975.0,33154.0,-80.1210954,25.8632138
1778,Sunset Harbour Dr,169.0,4.0,3.0,2.0,0.0,Miami Beach,2020-03-12,SUNSET HARBOR TERRACE,Miami-Dade County,71.0,2085000.0,1413.0,1.0,Canal Front,1996.0,33139.0,-80.1443819,25.793559
698,Brickell Key Blvd,178.0,4.0,4.0,2.0,1.0,Miami,2020-04-02,ASIA,Miami-Dade County,32.0,2075000.0,900.0,27.0,Bay Front,2008.0,33131.0,-80.18589329999999,25.7684451
1777,Sunset Harbour Dr,195.0,3.0,3.0,1.0,0.0,Miami Beach,2020-04-17,Sunset Harbour,Miami-Dade County,16.0,2050000.0,1800.0,18.0,Bay Front,1998.0,33139.0,-80.1443819,25.793559
609,Brickell Ave,185.0,3.0,4.0,3.0,2.0,Miami,2020-03-05,BRISTOL TOWER CONDO,Miami-Dade County,90.0,2035000.0,2127.0,27.0,Bay Front,1993.0,33129.0,-80.19679959999999,25.7553254
494,Bayshore Dr,161.0,3.0,2.0,1.0,1.0,Coconut Grove,2020-01-10,Park Grove Residences,Miami-Dade County,174.0,2025000.0,2821.0,9.0,Bay Front,2018.0,33133.0,-81.7704,26.128629999999998
1065,Crandon Blvd,122.0,5.0,4.0,2.0,1.0,Key Biscayne,2020-01-31,KEY COLONY,Miami-Dade County,676.0,2000000.0,151.0,11.0,Ocean Access,1980.0,33149.0,-80.1606948,25.7014888
790,Collins Ave,166.0,2.0,2.0,0.0,1.0,Sunny Isles Beach,2020-03-03,ACQUALINA,Miami-Dade County,8.0,2000000.0,17875.0,6.0,Ocean Front,2006.0,33160.0,-80.1210954,25.8632138
170,20th St,149.0,2.0,2.0,1.0,0.0,Miami Beach,2019-12-24,Setai,Miami-Dade County,105.0,2000000.0,101.0,24.0,Ocean Front,2004.0,33139.0,-97.335553,37.720705
872,Collins Ave,168.0,2.0,2.0,1.0,1.0,Bal Harbour,2020-02-10,St Regis,Miami-Dade County,11.0,2000000.0,9701.0,4.0,Ocean Front,2011.0,33154.0,-80.1210954,25.8632138
1459,Ocean Blvd,177.0,3.0,3.0,2.0,1.0,Fort Lauderdale,2020-03-02,L'Hermitage,Broward County,106.0,2000000.0,3100.0,23.0,Ocean Front,1997.0,33308.0,-78.86726479999999,33.70369960000001
1072,Crandon Blvd,199.0,3.0,3.0,2.0,0.0,Key Biscayne,2020-02-28,The Tidemark,Miami-Dade County,59.0,2000000.0,201.0,1.0,Ocean Front,1978.0,33149.0,-80.1606948,25.7014888
917,Collins Ave,141.0,3.0,3.0,1.0,1.0,Miami Beach,2019-12-16,Carillon Wellness Resort,Miami-Dade County,298.0,1915000.0,6799.0,4.0,Ocean Front,2008.0,33141.0,-80.1210954,25.8632138
838,Collins Ave,198.0,3.0,3.0,1.0,0.0,Miami Beach,2019-12-23,BLUE DIAMOND,Miami-Dade County,202.0,1900000.0,4779.0,36.0,Ocean Front,2000.0,33140.0,-80.1210954,25.8632138
1427,Ocean Blvd,206.0,4.0,3.0,2.0,1.0,Pompano Beach,2020-01-15,PLAZA AT OCEANSIDE,Broward County,107.0,1900000.0,1.0,18.0,Ocean Front,2008.0,33062.0,-78.86726479999999,33.70369960000001
1633,Ocean Dr,224.0,5.0,4.0,2.0,1.0,Hollywood,2020-02-14,APOGEE BEACH,Broward County,68.0,1890000.0,3951.0,21.0,Ocean Front,2013.0,33019.0,-80.1311819,25.7779458
844,Collins Ave,191.0,2.0,3.0,2.0,0.0,Miami Beach,2019-12-19,FONTAINEBLEAU II/TRESOR,Miami-Dade County,147.0,1850000.0,4401.0,24.0,Ocean Front,2005.0,33140.0,-80.1210954,25.8632138
1464,Ocean Blvd,220.0,3.0,4.0,2.0,0.0,Pompano Beach,2020-02-20,Sabbia Beach Condominium,Broward County,19.0,1840000.0,730.0,5.0,Ocean Front,2019.0,33062.0,-78.86726479999999,33.70369960000001
1711,Pointe Dr,197.0,2.0,2.0,2.0,1.0,Miami Beach,2019-12-17,Murano at Portofino,Miami-Dade County,207.0,1825000.0,1000.0,16.0,Bay Front,2001.0,33139.0,-90.1903353,38.6302789
601,Brickell Ave,143.0,4.0,4.0,2.0,1.0,Miami,2020-04-30,BRISTOL TOWER,Miami-Dade County,272.0,1800000.0,2127.0,36.0,Bay Front,1993.0,33129.0,-80.19679959999999,25.7553254
529,Biscayne,153.0,3.0,4.0,2.0,1.0,Miami,2019-12-02,900 Biscayne,Miami-Dade County,469.0,1800000.0,900.0,61.0,Bay Front,2008.0,33132.0,-80.2321,25.5722
684,Brickell Bay Dr,221.0,3.0,3.0,2.0,0.0,Miami,2020-02-11,JADE RESIDENCES AT BRICKE,Miami-Dade County,74.0,1785000.0,1331.0,33.0,Bay Front,2004.0,33131.0,-80.1898079,25.7629285
1478,Ocean Blvd,176.0,3.0,3.0,2.0,1.0,Lauderdale By The Sea,2020-04-02,Europa by the Sea,Broward County,542.0,1775000.0,1460.0,15.0,Ocean Front,2005.0,33062.0,-78.86726479999999,33.70369960000001
861,Collins Ave,164.0,3.0,3.0,2.0,1.0,Bal Harbour,2020-03-25,BAL HARBOUR TOWER,Miami-Dade County,240.0,1750000.0,9999.0,3.0,Ocean Front,1990.0,33154.0,-80.1210954,25.8632138
859,Collins Ave,241.0,3.0,3.0,2.0,1.0,Sunny Isles Beach,2020-05-21,Jade Ocean,Miami-Dade County,72.0,1750000.0,17121.0,28.0,Ocean Front,2009.0,33160.0,-80.1210954,25.8632138
1810,Venetian Way,248.0,2.0,2.0,2.0,0.0,Miami Beach,2020-04-06,1000 Venetian,Miami-Dade County,8.0,1725000.0,1000.0,19.0,Bay Front,1983.0,33139.0,-80.15856540000001,25.7909407
1775,Sunset Harbour Dr,163.0,3.0,3.0,2.0,0.0,Miami Beach,2020-03-17,THE THS AT SUNSET HARBOUR,Miami-Dade County,448.0,1725000.0,1415.0,1.0,Canal Front,1997.0,33139.0,-80.1443819,25.793559
1027,Collins Avenue,216.0,1.0,1.0,1.0,1.0,Miami Beach,2020-02-28,Eighty Seven Park,Miami-Dade County,174.0,1700000.0,8701.0,11.0,Ocean Front,2019.0,33154.0,-80.1210954,25.8632138
63,15th Ct,3541.0,2.0,2.0,1.0,0.0,Pembroke Pines,2020-02-12,Ivanhoe East at Century V,Broward County,17.0,1700000.0,12901.0,3.0,Lake Front,1991.0,33027.0,-81.745086,28.044988
1500,Ocean Blvd,246.0,2.0,2.0,2.0,1.0,Pompano Beach,2019-12-23,Sabbia Beach Condominium,Broward County,66.0,1695000.0,730.0,15.0,Ocean Front,2019.0,33062.0,-78.86726479999999,33.70369960000001
680,Brickell Bay Dr,242.0,3.0,3.0,2.0,0.0,Miami,2020-01-02,JADE RESIDENCES AT BRICKE,Miami-Dade County,32.0,1690000.0,1331.0,27.0,Bay Front,2004.0,33131.0,-80.1898079,25.7629285
795,Collins Ave,256.0,2.0,2.0,1.0,1.0,Sunny Isles Beach,2020-03-10,Turnberry Ocean Colony No,Miami-Dade County,37.0,1680000.0,16051.0,29.0,Ocean Front,2006.0,33160.0,-80.1210954,25.8632138
1442,Ocean Blvd,262.0,3.0,3.0,3.0,1.0,Pompano Beach,2019-12-23,Plaza At OceanSide,Broward County,181.0,1653000.0,1.0,18.0,Intracoastal Front,2008.0,33062.0,-78.86726479999999,33.70369960000001
1519,Ocean Blvd,240.0,1.0,2.0,1.0,0.0,Fort Lauderdale,2020-04-15,Auberge Beach,Broward County,226.0,1650000.0,2200.0,14.0,Ocean Front,2019.0,33305.0,-78.86726479999999,33.70369960000001
882,Collins Ave,237.0,3.0,2.0,1.0,1.0,Bal Harbour,2020-03-23,Majestic Tower,Miami-Dade County,64.0,1649000.0,9601.0,5.0,Other Waterfront,1998.0,33154.0,-80.1210954,25.8632138
1705,Pointe Dr,275.0,3.0,2.0,1.0,1.0,Miami Beach,2020-04-15,South Pointe Towers,Miami-Dade County,44.0,1610000.0,400.0,21.0,Bay Front,1987.0,33139.0,-90.1903353,38.6302789
696,Brickell Key Blvd,260.0,3.0,3.0,2.0,1.0,Miami,2020-01-24,CARBONELL CONDO,Miami-Dade County,156.0,1600000.0,901.0,9.0,Bay Front,2005.0,33131.0,-80.18589329999999,25.7684451
178,24 street,257.0,1.0,1.0,1.0,0.0,Miami Beach,2019-12-16,1 HOTEL AND HOMES,Miami-Dade County,650.0,1600000.0,102.0,12.0,Ocean Front,2015.0,33139.0,-119.01805490000001,35.3808044
1538,Ocean Dr,245.0,3.0,4.0,1.0,1.0,Hallandale Beach,2019-12-27,BEACH CLUB THREE,Broward County,440.0,1600000.0,1800.0,44.0,Ocean Access,2007.0,33009.0,-80.1311819,25.7779458
1054,Crandon Blvd,279.0,2.0,2.0,1.0,0.0,Key Biscayne,2020-04-20,TOWERS OF KEY BISCAYNE,Miami-Dade County,189.0,1590000.0,1111.0,13.0,Ocean Front,1972.0,33149.0,-80.1606948,25.7014888
1113,Fisher Island Dr,305.0,3.0,3.0,0.0,1.0,Miami Beach,2020-02-20,Bayside Village East,Miami-Dade County,15.0,1590000.0,2023.0,2.0,Bay Front,1988.0,33109.0,-80.1413061,25.7607775
1357,Las Olas Way,287.0,3.0,3.0,1.0,1.0,Fort Lauderdale,2019-12-11,Las Olas River House,Broward County,36.0,1590000.0,333.0,18.0,River Front,2004.0,33301.0,-118.81614740000002,34.0126901
1000,Collins Ave,273.0,3.0,3.0,2.0,1.0,Sunny Isles Beach,2020-01-07,MILLENNIUM,Miami-Dade County,31.0,1575000.0,18671.0,4.0,Ocean Front,1999.0,33160.0,-80.1210954,25.8632138
852,Collins Ave,292.0,2.0,2.0,2.0,1.0,Bal Harbour,2019-12-09,Kenilworth Condo,Miami-Dade County,187.0,1575000.0,10205.0,10.0,Ocean Front,1975.0,33154.0,-80.1210954,25.8632138
1497,Ocean Blvd,238.0,3.0,3.0,2.0,1.0,Pompano Beach,2020-03-09,AQUAZUL,Broward County,814.0,1567000.0,1600.0,18.0,Ocean Front,2005.0,33062.0,-78.86726479999999,33.70369960000001
1601,Ocean Dr,232.0,3.0,4.0,2.0,1.0,Hollywood,2020-03-19,RENAISSANCE ON THE OCEAN,Broward County,25.0,1550000.0,6051.0,3.0,Ocean Front,1999.0,33019.0,-80.1311819,25.7779458
776,Collins Ave,258.0,1.0,1.0,0.0,1.0,Miami Beach,2019-12-19,W South Beach,Miami-Dade County,960.0,1550000.0,2201.0,8.0,Ocean Front,2009.0,33139.0,-80.1210954,25.8632138
117,188th St,270.0,4.0,4.0,2.0,1.0,Aventura,2020-02-10,ECHO AVENTURA,Miami-Dade County,246.0,1526000.0,3300.0,11.0,Intracoastal Front,2015.0,33180.0,-73.7805014,40.7277699
1130,Fort Lauderdale Beach Blvd,200.0,3.0,3.0,2.0,1.0,Fort Lauderdale,2020-01-31,PARAMOUNT,Broward County,476.0,1525000.0,701.0,8.0,Ocean Front,2017.0,33304.0,-80.1030936,26.136409399999998
1446,Ocean Blvd,296.0,2.0,2.0,1.0,1.0,Fort Lauderdale,2020-01-15,L'Hermitage,Broward County,254.0,1510000.0,3100.0,21.0,Ocean Front,1997.0,33308.0,-78.86726479999999,33.70369960000001
911,Collins Ave,300.0,3.0,4.0,2.0,0.0,Miami Beach,2020-02-04,OCEANFRONT PLAZA CONDO,Miami-Dade County,99.0,1500000.0,2625.0,9.0,Ocean Front,1980.0,33140.0,-80.1210954,25.8632138
1366,Meridian Ave,329.0,2.0,2.0,1.0,1.0,Miami Beach,2020-01-30,Ritz Carlton,Miami-Dade County,15.0,1500000.0,4701.0,3.0,Other Waterfront,2019.0,33140.0,-121.90594070000002,37.270992
1109,Fisher Island Dr,189.0,3.0,3.0,2.0,1.0,Miami Beach,2019-12-27,Bayside Village,Miami-Dade County,39.0,1500000.0,2236.0,3.0,Other Waterfront,1986.0,33109.0,-80.1413061,25.7607775
797,Collins Ave,291.0,3.0,3.0,1.0,1.0,Sunny Isles Beach,2020-02-27,JADE BEACH,Miami-Dade County,65.0,1500000.0,17001.0,19.0,Other Waterfront,2008.0,33160.0,-80.1210954,25.8632138
1305,Island Blvd,304.0,3.0,4.0,2.0,1.0,Aventura,2020-02-12,Williams Island,Miami-Dade County,9.0,1495000.0,7000.0,24.0,Bay Front,1998.0,33160.0,-95.53250799999999,29.557535700000003
1129,Fort Lauderdale Beach Blvd,158.0,2.0,2.0,2.0,1.0,Fort Lauderdale,2019-12-06,The Ritz-Carlton,Broward County,145.0,1475000.0,1.0,19.0,Intracoastal Front,2007.0,33304.0,-80.1030936,26.136409399999998
