,Street_Name,X,Beds,Baths,Garage_Spaces,Baths.1,City_Name,Closing_Date,Complex_Name,County,DOM,Sale_Price,Street_Number_Numeric,Unit_Floor_Location,Waterfront_Description,Year_Built,Zip_Code,longitude,latitude
546,Biscayne Blvd,1040.0,2.0,2.0,2.0,1.0,Miami,2020-01-15,MARQUIS,Miami-Dade County,338.0,630000.0,1100.0,52.0,Bay Front,2009.0,33132.0,-80.1694305,25.8758273
1769,SUNNY ISLES BLVD,944.0,3.0,2.0,2.0,0.0,Sunny Isles Beach,2020-04-29,ST TROPEZ,Miami-Dade County,378.0,630000.0,250.0,18.0,Canal Front,2010.0,33160.0,-80.1374728,25.9274603
864,Collins Ave,614.0,2.0,2.0,1.0,0.0,Bal Harbour,2019-12-20,BALMORAL CONDO,Miami-Dade County,323.0,630000.0,9801.0,5.0,Ocean Front,1977.0,33154.0,-80.1210954,25.8632138
207,28th St,825.0,3.0,2.0,1.0,1.0,Miami,2020-05-21,ICON BAY CONDO,Miami-Dade County,176.0,630000.0,460.0,0.0,Other Waterfront,2015.0,33137.0,-73.9935092,40.7470686
1495,Ocean Blvd,917.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-01-30,SHORE CLUB,Broward County,196.0,630000.0,1901.0,12.0,Ocean Front,1976.0,33305.0,-78.86726479999999,33.70369960000001
128,188th St,1092.0,3.0,2.0,1.0,1.0,Aventura,2020-03-09,THE ATRIUM AT AVENTURA,Miami-Dade County,59.0,629000.0,3131.0,7.0,Canal Front,2007.0,33180.0,-73.7805014,40.7277699
1541,Ocean Dr,1083.0,2.0,2.0,1.0,0.0,Hollywood,2019-12-20,Aquarius,Broward County,18.0,627000.0,2751.0,19.0,Ocean Front,1973.0,33019.0,-80.1311819,25.7779458
954,Collins Ave,1001.0,2.0,2.0,0.0,2.0,Sunny Isles Beach,2019-12-04,Sainds Pointe,Miami-Dade County,59.0,625000.0,16711.0,1.0,Ocean Front,1996.0,33160.0,-80.1210954,25.8632138
665,Brickell Ave,956.0,2.0,2.0,1.0,0.0,Miami,2020-05-15,ICON BRICKELL,Miami-Dade County,70.0,625000.0,465.0,39.0,Bay Front,2008.0,33131.0,-80.19679959999999,25.7553254
1489,Ocean Blvd,1035.0,2.0,2.0,1.0,0.0,Pompano Beach,2019-12-06,The Claridge,Broward County,11.0,625000.0,1340.0,22.0,Ocean Front,1972.0,33062.0,-78.86726479999999,33.70369960000001
712,Brickell Key Dr,1060.0,3.0,3.0,2.0,0.0,Miami,2019-12-20,Brickell Key One,Miami-Dade County,29.0,620000.0,520.0,6.0,Bay Front,1982.0,33131.0,-80.18539229999999,25.7673974
1162,Galt Ocean Dr,1032.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-18,RIVIERA CONDO,Broward County,162.0,620000.0,3550.0,16.0,Ocean Front,1971.0,33308.0,-80.0985962,26.1747161
1452,Ocean Blvd,979.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-01-02,SHORE CLUB,Broward County,174.0,620000.0,1901.0,17.0,Ocean Front,1976.0,33305.0,-78.86726479999999,33.70369960000001
608,Brickell Ave,1068.0,2.0,2.0,1.0,0.0,Miami,2019-12-20,Brickell Bay Club,Miami-Dade County,17.0,620000.0,2333.0,2.0,Bay Front,1974.0,33129.0,-80.19679959999999,25.7553254
945,Collins Ave,1139.0,2.0,2.0,1.0,0.0,Miami Beach,2020-03-27,SEACOAST 5151,Miami-Dade County,15.0,620000.0,5151.0,6.0,Ocean Front,1966.0,33140.0,-80.1210954,25.8632138
877,Collins Ave,1012.0,2.0,2.0,1.0,0.0,Miami Beach,2020-02-21,MIRASOL OCEAN TOWERS,Miami-Dade County,3.0,620000.0,2655.0,12.0,Ocean Front,1975.0,33140.0,-80.1210954,25.8632138
